# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
HMR_4210	EC:2.7.1.40	1009117; 7154942
HMR_4211	EC:3.6.1.19	15652174; 16752921; 17095758
HMR_4343	EC:2.4.2.9	
HMR_4345	EC:1.3.1.2	15450176; 8429016
HMR_4346	EC:3.5.2.2	2827580
HMR_4470	EC:1.3.1.2	1260500; 8615641
HMR_4471	EC:1.3.1.2	1260500; 8615641
HMR_4472	EC:1.3.1.2	15450176
HMR_4484	EC:3.1.3.5; EC:3.1.3.35	14235544; 15262124; 15990964
HMR_4485	EC:2.4.2.1; EC:2.4.2.4	15262124; 15990964
HMR_4510	EC:3.1.3.5	11690631; 17405878; 6284244; 7999131
HMR_4512	EC:2.7.4.14	10462544; 11912132
HMR_4513	EC:2.7.1.74	12036920; 1657002; 213049; 8399394; 9342341; 9593124
HMR_4514	EC:3.5.4.14	
HMR_4577	EC:2.4.2.10	6338005
HMR_4579	EC:2.4.2.3	8339277
HMR_4580	EC:3.5.4.5	17066440; 17560270; 17640070; 17672864; 18306229
HMR_4608	EC:3.5.2.3	2903106; 4831620
HMR_4575	EC:1.3.5.2; EC:1.3.1.14	184741; 199900; 216313; 2540819; 3733756; 6186531; 7196415; 8925840; 9179295
HMR_4637	EC:2.7.4.12; EC:2.7.4.9	8845311
HMR_4642	EC:3.1.3.-	
HMR_4643	EC:3.6.1.23; EC:3.6.1.19	8631816
HMR_4644	EC:2.1.1.45	15375535; 15992031; 34155; 3567221; 8621617
HMR_4672	EC:3.5.4.13	
HMR_4676	EC:2.7.1.48	11306702; 9923963
HMR_4736	EC:3.5.2.2	17065093
HMR_4819	EC:3.5.1.6	10542323; 3678231
HMR_5299	EC:2.7.1.48	11306702; 9923963
HMR_5352	EC:2.7.1.48	11306702; 11494055; 64250; 9923963
HMR_5415	EC:1.17.4.1	5553404; 5671058
HMR_5416	EC:1.17.4.1	5553404; 5671058
HMR_5417	EC:1.8.1.9	5553404; 5671058
HMR_6612	EC:2.7.4.9	8024690
HMR_6613	EC:2.7.4.9	8024690
HMR_6621	EC:1.17.4.1	6997299; 8483833
HMR_6622	EC:1.17.4.1	6997299; 8483833
HMR_6623	EC:2.7.1.21	11812127
HMR_6624	EC:2.7.1.21	11812127
HMR_6627	EC:2.7.1.40	8967971; 10585400
HMR_7744	EC:4.2.1.70	
HMR_8072		
HMR_8637		
HMR_3965	EC:3.6.1.23	
HMR_3966	EC:3.6.1.19	
HMR_3967	EC:2.7.4.14	
HMR_3968	EC:2.7.4.9	
HMR_3999	EC:3.6.1.5	11278936
HMR_4024	EC:2.7.4.14; EC:2.7.4.25	10462544; 11912132; 132087; 7581800; 8867780
HMR_4026	EC:2.7.4.14	10462544; 11912132; 132087; 7581800; 8867780
HMR_4054	EC:2.7.1.21	1063125; 14519855; 3457791
HMR_4061	EC:3.6.1.39; EC:3.6.1.5	15652174; 16752921; 17095758
HMR_4083		
HMR_4136	EC:3.6.5.1; EC:3.6.5.2; EC:3.6.5.3; EC:3.6.5.4; EC:3.6.5.5; EC:3.6.5.6	15652174; 16752921; 17095758
HMR_4180	EC:2.7.1.48	132087; 64250
HMR_4185	EC:2.7.7.4	10679223
HMR_4186	EC:2.7.1.25	10679223; 11931637
HMR_4342	EC:3.6.1.5; EC:3.6.1.6	15652174; 16752921; 17095758
HMR_4344	EC:1.3.1.1	1260500
HMR_4483	EC:2.7.1.21	1063125; 14519855; 3457791
HMR_4507	EC:3.5.4.12	8448179
HMR_4516	EC:3.6.1.12	6121703
HMR_4601	EC:2.7.1.113	15748706
HMR_4633	EC:2.7.1.76; EC:2.7.1.76	11812127; 202960
HMR_4640	EC:2.7.4.4; EC:2.7.4.9	13363863; 13363863
HMR_4641	EC:2.7.1.21	1063125; 16630572; 3457791
HMR_4680	EC:2.4.2.3	14038100; 14156740; 6198074; 7838140
HMR_4806	EC:2.1.2.2	11381136; 4084560; 9265631
HMR_5394	EC:3.5.4.15	10348987; 14725335
HMR_6625	EC:2.7.1.21	
HMR_6626	EC:3.1.3.-	
HMR_7160	EC:2.7.7.7	
HMR_7161	EC:2.7.7.6; EC:2.7.7.19; EC:2.7.7.52	
HMR_7162	EC:2.7.7.8	
HMR_7163	EC:3.1.11.2	
HMR_7164	EC:3.1.11.2	
HMR_7713	EC:3.1.3.5	
HMR_7716	EC:3.1.3.5	
HMR_7717		
HMR_7721	EC:3.1.3.5	
HMR_7725	EC:3.1.3.-	
HMR_7728	EC:3.1.3.5	
HMR_7800	EC:2.7.4.3	
HMR_7801	EC:2.7.4.10	
HMR_7802	EC:2.7.4.3	
HMR_7863	EC:2.7.4.14	
HMR_7864	EC:2.7.4.14	
HMR_7865	EC:2.7.4.14	
HMR_7866	EC:2.7.4.14	
HMR_7867	EC:2.7.4.14	
HMR_7868	EC:2.7.4.14	
HMR_7869	EC:2.7.4.14	
HMR_7870	EC:2.7.4.14	
HMR_7871	EC:2.7.4.14	
HMR_7872	EC:2.7.4.14	
HMR_7873	EC:2.7.4.14	
HMR_7874	EC:2.7.4.14	
HMR_7875	EC:2.7.4.14	
HMR_7876	EC:2.7.4.14	
